Label,Synonyms,Parent(s),Children,RelatedTo
extraction,,,,sample
filter,,,,sample
flow rate,,,,properties of the column run; equipment
Fluorescence,,,,equipment; column output
formic acid,,,,mobile phase
fraction collector,,,,equipment; column output
fraction size,,,,column output
fraction volume,,,,sample; equipment; column output
fractionation,,,,column output
fragmentation,,,,
fructose,,,,sample
fucose,,,,sample
galacturonic acid,,,,sample
gas,,,,mobile phase
GC-MS,,,,equipment
general feature,,,,
glucoronic acid,,,,
glucose,,,,sample
gradient,elution profile,,,properties of the column run
graph,chromatogram,,,column output
guard column,,,,properties of the column run; equipment
He,helium,,,
heat,,,,sample
heater,,,,equipment
High performance LC,HPLC,,,equipment
Hilic,,,,equipment
HPAEC,,anion exchange,,equipment
HPSEC,,SEC,,equipment
hydrophobic interaction chromatography,reverse phase,chromatography type,,equipment
identification,annotate,,,column output
injection,,,,properties of the column run; equipment
injection volume,,,,properties of the column run; equipment
inlet,coupled with; connected with; connected to,,,
inline,,,,
inositol,,,,sample
integration,,,,equipment
intensity,signal intensity,,,
ion exchange,,,,equipment
ionic strenght,,,,
isocratic,,,,properties of the column run; equipment
Kw803,,,,
ligand binding chromatography,,chromatography type,,equipment
light scattering,LSD,,,equipment
limit,,,,
linear,,,,properties of the column run
MALLS,,,,equipment
mannose,,,,sample
mass range,,,,
mass spectroscopy,mass spectrometry; MS,,,equipment
Masslynx,,,,post run process
methanol,,,,mobile phase
methionine,,,,
mg/mL,µg/mL,,,sample
microlitres,,,,
minutes,,,,mobile phase
mL,mililitre,,,sample
mL/min,,,,
mobile phase,eluent,,,water; ammonia; formic acid; Urea; phase; solvent; TFA; minutes; distilled water; %; phosphate; pH; gas; buffer; organic solvent; CV; MQ; anorganic aqueous solution; methanol; organic acid; acid; dissolve; acetic acid; Acetonitrile
molar,M,,,sample
monosaccharide,,,,
MQ,MQ water; milliq water,,,mobile phase
MWCO,molecular mass; molecular weight,,,
N2,nitrogen,,,
Nano LC,nano liquid chromatography,,,equipment
nanometer,nm,,,
NaOH,sodium hydroxide,,,
needle wash,,,,equipment; pre run process
neutral,non-charged,,,sample
neutral oligosaccharides,non-charged oligosaccharides,,,
non-reducing,,,,sample
normal phase,NP,,,properties of the column run; equipment
offline,,,,
oligosaccharide,,,,sample
online,real-time,,,
organic acid,,,,mobile phase; sample
organic solvent,,,,mobile phase; sample
outlet,,,,
oven,,,,equipment
oven temperature,,,,properties of the column run
oxygen,O2,,,
pascal,Pa,,,
PDA,Photo diode array,,,post run process; equipment; column output
peak,,,,post run process
peak area,,,,post run process
pH,,,,mobile phase
phase,,,,mobile phase
phosphate,PO4,,,mobile phase
place,location,,,
polyphenols,phenolics,,,sample
polysaccharide,,,,sample
pore size,poresize,,,equipment
post column,post-column,,,properties of the column run
post run process,,,,peak; peak area; chromeleon; Masslynx; UV; software; PDA; column output; quantification; detector
pre run process,,,,calibration; equilibrium; needle wash; preparation; sample preparation; purging; purification; equilibrate; protocol
pre-column,pre column,,,properties of the column run; equipment
preparation,,,,sample; pre run process
preparative,medium scale,,,
preparative LC,preparative liquid chromatography,,,equipment
pressure,,,,properties of the column run; equipment
pressure detector,,,,equipment
properties of the column run,,,,separation; gradient; guard column; linear; injection volume; injection; column temperature; tray temperature; C-18; post column; C-8; pre-column; oven temperature; BEH AMIDE Column; conductivity; stationary phase; BEH; isocratic; pressure; sequence; reversed phase; normal phase; co-elution; elution volume; temperature; retention time; C4; flow rate
protocol,procedure,,,pre run process
psi,,,,
pump,,,,equipment
purging,purge; flushing,,,equipment; pre run process
purification,isolation; purifying,,,pre run process
quantification,area under the curve; amounts were determined; quantify,,,post run process
reducing,reduction; break disulfide bridges,,,
resolution,quality,,,equipment
result,output; end result; outcome; data,,,
retention time,elution time; RT,,,properties of the column run; equipment
reversed phase,RP,chromatography type,,properties of the column run; equipment
RI,RI; refractive index,,,equipment
room temperature,rt; 25 degrees; ambient temperature,,,
run time,,,,equipment
sample,specimen,,,extraction; oligosaccharide; mL; filter; inositol; polysaccharide; preparation; molar; sample preparation; cleaning; xylose; concentration; polyphenols; sugar; glucose; solubilize; non-reducing; %; mannose; drymatter; disperse; fucose; fraction volume; arabinose; duplicate; cellulose; heat; mg/mL; centrifuge; organic solvent; galacturonic acid; neutral; organic acid; country; fructose; dissolve; catalyst; dilute
sample preparation,sample pre-treatment,,,sample; pre run process
sample tray,,,,equipment
SEC,size exclusion chromatography; size exclusion,chromatography type,HPSEC,equipment
separation,,,,properties of the column run
sequence,elution order,,,properties of the column run; equipment
signal,,,,equipment
silica,,,,equipment
size,,,,equipment
software,,,,post run process; equipment
solubilize,,,,sample
solvent,eluent,,,mobile phase
state,,,,
stationary phase,column material; column packing,,,properties of the column run; equipment
stirr,,,,
sugar,carbohydrate; saccharide,,,sample
superdex,,,,
Superdex 200,,,,
Superdex 75,,,,
supernatant,,,,
supply,,,,
syringe,,,,equipment
temperature,T; °C; degree celsius,,,properties of the column run; equipment
TFA,trifluoracetic acid,,,mobile phase
Thermo scientific,,,,equipment
time shifting,,,,
tray temperature,,,,properties of the column run; equipment
tune file,,,,equipment
U(H)PLC,UPLC; ultra high performance; UHPLC,,,equipment
Urea,,,,mobile phase
uronic acid,,,,
UV,,,,post run process; equipment
V0,,,,
vacuum,,,,equipment
valve,,,,equipment
vial,,,,equipment
vials,,,,equipment
volume,,,,
Vt,,,,
water,,,,mobile phase
waters,,,,equipment
wavelength,,,,equipment
weigh in,,,,
Xcalibur,,,,equipment
xylose,,,,sample
